Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,129,Manger Flood {R} [U1.41 C.09] (B),28279,DMX,,,,1,41,16711680,#0000FF,Blue
Channel,1,Master Power High [L1.12],28279,LOR,1,Regular,12,,,0,#000000,Black-Off
Channel,0,Master Power Low [L1.05],28279,LOR,1,Regular,5,,,0,#000000,Black-Off
Channel,154,Menorah [L2.07],28279,LOR,2,AuxA,7,,,16711680,#0000FF,Blue
Channel,83,Meteors 1 (W) [L7.10],28279,LOR,7,AuxA,10,,,16777215,#FFFFFF,White
Channel,84,Meteors 2 (W) [L7.11],28279,LOR,7,AuxA,11,,,16777215,#FFFFFF,White
Channel,85,Meteors 3 (B) [L7.12],28279,LOR,7,AuxA,12,,,16711680,#0000FF,Blue
Channel,86,Meteors 4 (Multi) [L7.13],28279,LOR,7,AuxA,13,,,8388863,#FF0080,DeepPink
Channel,156,Peace Sign [L2.06],28279,LOR,2,AuxA,6,,,128,#800000,Maroon
Channel,148,Presents [L2.12],28279,LOR,2,AuxA,12,,,12615744,#4080C0,SteelBlue
Channel,87,Rainbow Rope Arch 1 [L4.05] (R),28279,LOR,4,AuxA,5,,,255,#FF0000,Red
Channel,88,Rainbow Rope Arch 2 [L4.06] (O),28279,LOR,4,AuxA,6,,,33023,#FF8000,DarkOrange
Channel,89,Rainbow Rope Arch 3 [L4.07] (Y),28279,LOR,4,AuxA,7,,,65535,#FFFF00,Yellow
Channel,90,Rainbow Rope Arch 4 [L4.08] (G),28279,LOR,4,AuxA,8,,,65280,#00FF00,Green
Channel,91,Rainbow Rope Arch 5 [L4.09] (B),28279,LOR,4,AuxA,9,,,16711680,#0000FF,Blue
Channel,92,Rainbow Rope Arch 6 [L4.10] (V),28279,LOR,4,AuxA,10,,,16711808,#8000FF,DarkViolet
Channel,133,Roof Ridgeline {L} [U1.45 C.13] (R),28279,DMX,,,,1,45,255,#FF0000,Red
