Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,99,Bushes Driveway Bush [L1.07] (W),,LOR,1,Aux@,7,,,16777215,#FFFFFF,White
Channel,97,Wreath Leaves [L1.08],,LOR,1,Aux@,8,,,65280,#00FF00,Green
Channel,98,Wreath Berries [L1.09],,LOR,1,Aux@,9,,,255,#FF0000,Red
Channel,22,UFOs {R} [L1.10] (RGB),,LOR,1,Aux@,10,,,16777215,#FFFFFF,White
Channel,43,Snow Lake (W) [L1.11],,LOR,1,Aux@,11,,,16777215,#FFFFFF,White
Channel,40,Master Power High [L1.12],,LOR,1,Aux@,12,,,65535,#FFFF00,Yellow
Channel,17,Disco Balls [L1.14],,LOR,1,Aux@,14,,,16777215,#FFFFFF,White
Channel,18,Disco Balls [L1.14],,LOR,1,Aux@,14,,,16777215,#FFFFFF,White
Channel,41,Security Lights [L1.15],,LOR,1,Aux@,15,,,16777215,#FFFFFF,White
Channel,44,Snowfall Spots [L1.16],,LOR,1,Aux@,16,,,14671839,#DFDFDF,Gainsboro
Channel,71,Candy Canes 3 [L2.03] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,60,Candy Canes 1 [L2.01] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,62,Candy Canes 1 [L2.01] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,61,Candy Canes 1 [L2.01] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,59,Candy Canes 1 [L2.01] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,58,Candy Canes 1 [L2.01] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,57,Candy Canes 1 [L2.01] (R),,LOR,2,AuxA,1,,,255,#FF0000,Red
Channel,64,Candy Canes 2 [L2.02] (G),,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,65,Candy Canes 2 [L2.02] (G),,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,67,Candy Canes 2 [L2.02] (G),,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,63,Candy Canes 2 [L2.02] (G),,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,68,Candy Canes 2 [L2.02] (G),,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,66,Candy Canes 2 [L2.02] (G),,LOR,2,AuxA,2,,,65280,#00FF00,Green
Channel,73,Candy Canes 3 [L2.03] (R),,LOR,2,AuxA,3,,,255,#FF0000,Red
Channel,72,Candy Canes 3 [L2.03] (R),,LOR,2,AuxA,3,,,255,#FF0000,Red
Channel,70,Candy Canes 3 [L2.03] (R),,LOR,2,AuxA,3,,,255,#FF0000,Red
Channel,69,Candy Canes 3 [L2.03] (R),,LOR,2,AuxA,3,,,255,#FF0000,Red
Channel,76,Candy Canes 4 [L2.04] (G),,LOR,2,AuxA,4,,,65280,#00FF00,Green
Channel,75,Candy Canes 4 [L2.04] (G),,LOR,2,AuxA,4,,,65280,#00FF00,Green
Channel,74,Candy Canes 4 [L2.04] (G),,LOR,2,AuxA,4,,,65280,#00FF00,Green
Channel,77,Candy Canes 4 [L2.04] (G),,LOR,2,AuxA,4,,,65280,#00FF00,Green
Channel,78,Candy Canes 4 [L2.04] (G),,LOR,2,AuxA,4,,,65280,#00FF00,Green
Channel,100,Yule Log [L2.05],,LOR,2,AuxA,5,,,33023,#FF8000,DarkOrange
Channel,103,Peace Sign [L2.06],,LOR,2,AuxA,6,,,16711680,#0000FF,Blue
Channel,102,Peace Sign [L2.06],,LOR,2,AuxA,6,,,255,#FF0000,Red
Channel,104,Peace Sign [L2.06],,LOR,2,AuxA,6,,,65280,#00FF00,Green
Channel,101,Menorah [L2.07],,LOR,2,AuxA,7,,,16711680,#0000FF,Blue
Channel,10,Bushes Side Rainbow [L2.08],,LOR,2,AuxA,8,,,16711808,#8000FF,DarkViolet
Channel,52,Bushes Side Rainbow [L2.08],,LOR,2,AuxA,8,,,255,#FF0000,Red
Channel,53,Bushes Side Rainbow [L2.08],,LOR,2,AuxA,8,,,33023,#FF8000,DarkOrange
Channel,55,Bushes Side Rainbow [L2.08],,LOR,2,AuxA,8,,,16711680,#0000FF,Blue
Channel,54,Bushes Side Rainbow [L2.08],,LOR,2,AuxA,8,,,65280,#00FF00,Green
